"Social login options","Tuy chon dang nhap mang xa hoi"
"Or continue with","Hoac tiep tuc voi"
"Sign in with %1","Dang nhap voi %1"
"This social login provider is not available.","Phuong thuc dang nhap mang xa hoi nay hien khong kha dung."
"Unable to start social login right now.","Khong the bat dau dang nhap mang xa hoi luc nay."
"Social login was cancelled or denied.","Dang nhap mang xa hoi da bi huy hoac bi tu choi."
"Missing authorization code from the social provider.","Khong nhan duoc ma uy quyen tu nha cung cap mang xa hoi."
"You are now signed in with %1.","Ban da dang nhap bang %1."
"The social login request is invalid or expired. Please try again.","Yeu cau dang nhap mang xa hoi khong hop le hoac da het han. Vui long thu lai."
"Unable to complete social login right now.","Khong the hoan tat dang nhap mang xa hoi luc nay."
"The social provider returned an invalid response.","Nha cung cap mang xa hoi tra ve phan hoi khong hop le."
"The social provider request failed.","Yeu cau toi nha cung cap mang xa hoi that bai."
"Google did not return an access token.","Google khong tra ve access token."
"Google did not return a valid account identifier.","Google khong tra ve dinh danh tai khoan hop le."
"The Google account email address is not verified.","Dia chi email cua tai khoan Google chua duoc xac minh."
"Facebook did not return an access token.","Facebook khong tra ve access token."
"Facebook did not return a valid account identifier.","Facebook khong tra ve dinh danh tai khoan hop le."
"Unsupported social login provider.","Nha cung cap dang nhap mang xa hoi khong duoc ho tro."
"This social account is already linked to another customer.","Tai khoan mang xa hoi nay da duoc lien ket voi mot khach hang khac."
"The social provider did not return a valid user identifier.","Nha cung cap mang xa hoi khong tra ve dinh danh nguoi dung hop le."
"Your %1 account did not return an email address. Please allow email sharing or sign in with email first.","Tai khoan %1 cua ban khong tra ve dia chi email. Vui long cho phep chia se email hoac dang nhap bang email truoc."
"Enable Social Login","Bat dang nhap mang xa hoi"
"Enable Google Login","Bat dang nhap Google"
"Enable Facebook Login","Bat dang nhap Facebook"
"Google Client ID","Google Client ID"
"Google Client Secret","Google Client Secret"
"Google Redirect Path","Duong dan redirect Google"
"Use /sociallogin/auth/callback/provider/google as the authorized redirect path under your storefront base URL.","Dung /sociallogin/auth/callback/provider/google lam duong dan redirect duoc uy quyen duoi base URL storefront."
"Facebook App ID","Facebook App ID"
"Facebook App Secret","Facebook App Secret"
"Facebook Redirect Path","Duong dan redirect Facebook"
"Use /sociallogin/auth/callback/provider/facebook as the valid OAuth redirect path under your storefront base URL.","Dung /sociallogin/auth/callback/provider/facebook lam duong dan redirect OAuth hop le duoi base URL storefront."
"FashionStore Social Login","FashionStore Social Login"
"Enable Google and Facebook login buttons on the customer login page.","Bat nut dang nhap Google va Facebook tren trang dang nhap khach hang."
"%1 login is visible, but it still needs Client ID and Client Secret in admin config.","Dang nhap %1 da hien thi, nhung van can Client ID va Client Secret trong cau hinh admin."
