"Guest","Khách"
"Welcome, %1!","Chào mừng, %1!"
"products","sản phẩm"
"Search ""%1""","Tìm ""%1"""
"Weather icon","Biểu tượng thời tiết"
"Could not load news","Không tải được tin tức"
"Open menu","Mở menu"
"Hanoi","Hà Nội"
"News:","Tin tức:"
"Loading news...","Đang tải tin tức..."
"Open search","Mở tìm kiếm"
"Close","Đóng"
"Account","Tài khoản"
"My Account","Tài khoản của tôi"
"Log Out","Đăng xuất"
"Log In","Đăng nhập"
"Register","Đăng ký"
"Store","Cửa hàng"
"Women's Fashion","Thời trang nữ"
"Men's Fashion","Thời trang nam"
"Bags","Túi xách"
"Shoes","Giày"
"Contact us","Liên hệ chúng tôi"
"Fashion & Accessories","Thời trang & Phụ kiện"
"Fragrance & Beauty","Nước hoa & Mỹ phẩm"
"Search products...","Tìm sản phẩm..."
"Home","Trang chủ"
"Shopping Options","Tùy chọn mua sắm"
"Price","Giá"
"and above","trở lên"
"Compare Products","So sánh sản phẩm"
"You have no items to compare.","Bạn không có sản phẩm nào để so sánh."
"Recently Ordered","Đã đặt gần đây"
"Add to Cart","Thêm vào giỏ hàng"
"View All","Xem tất cả"
"Items","Sản phẩm"
"Sort By","Sắp xếp theo"
"Position","Vị trí"
"Show","Hiển thị"
"per page","trên mỗi trang"
"Privacy and Cookie Policy","Chính sách bảo mật và Cookie"
"Search Terms","Cụm từ tìm kiếm"
"Advanced Search","Tìm kiếm nâng cao"
"Contact Us","Liên hệ với chúng tôi"
"Enter your email address","Nhập địa chỉ email của bạn"
"Subscribe","Đăng ký"
"Chat","Chat"
"Copyright © 2014-present Magento, Inc. All rights reserved.","Bản quyền © 2014-nay thuộc về Magento, Inc. Bảo lưu mọi quyền."
"Customer Login","Đăng nhập khách hàng"
"Registered Customers","Khách hàng đã đăng ký"
"If you have an account, sign in with your email address.","Nếu bạn đã có tài khoản, hãy đăng nhập bằng địa chỉ email của bạn."
"Email","Email"
"Password","Mật khẩu"
"Show Password","Hiển thị mật khẩu"
"Sign In","Đăng nhập"
"Forgot Your Password?","Quên mật khẩu?"
"New Customers","Khách hàng mới"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Tạo tài khoản mang lại nhiều lợi ích: thanh toán nhanh hơn, lưu nhiều địa chỉ, theo dõi đơn hàng và hơn thế nữa."
"Create an Account","Tạo tài khoản"
"Required Fields","Các trường bắt buộc"
"My Orders","Đơn hàng của tôi"
"My Downloadable Products","Sản phẩm có thể tải xuống"
"My Wish List","Danh sách yêu thích"
"Address Book","Sổ địa chỉ"
"Account Information","Thông tin tài khoản"
"Stored Payment Methods","Phương thức thanh toán đã lưu"
"My Product Reviews","Nhận xét sản phẩm của tôi"
"Newsletter Subscriptions","Đăng ký nhận bản tin"
"Contact Information","Thông tin liên hệ"
"Edit","Chỉnh sửa"
"Change Password","Đổi mật khẩu"
"Newsletters","Bản tin"
"You are subscribed to ""General Subscription"".","Bạn đã đăng ký nhận ""Bản tin chung""."
"Manage Addresses","Quản lý địa chỉ"
"Default Billing Address","Địa chỉ thanh toán mặc định"
"Default Shipping Address","Địa chỉ giao hàng mặc định"
"Edit Address","Chỉnh sửa địa chỉ"
"Recent Orders","Đơn hàng gần đây"
"View All","Xem tất cả"
"You have no items in your wish list.","Bạn chưa có sản phẩm nào trong danh sách yêu thích."
"Order #","Đơn hàng #"
"Date","Ngày"
"Order Total","Tổng cộng"
"Status","Trạng thái"
"Action","Thao tác"
"Pending","Đang chờ xử lý"
"View Order","Xem đơn hàng"
"Reorder","Đặt hàng lại"
"Item","Sản phẩm"
"You have not purchased any downloadable products yet.","Bạn chưa mua bất kỳ sản phẩm có thể tải xuống nào."
"Default Addresses","Địa chỉ mặc định"
"Change Billing Address","Thay đổi địa chỉ thanh toán"
"Change Shipping Address","Thay đổi địa chỉ giao hàng"
"Additional Address Entries","Các địa chỉ khác"
"You have no other address entries in your address book.","Bạn không có địa chỉ nào khác trong sổ địa chỉ."
"Add New Address","Thêm địa chỉ mới"
"Edit Account Information","Chỉnh sửa thông tin tài khoản"
"First Name","Tên"
"Last Name","Họ"
"Change Email","Thay đổi Email"
"Allow remote shopping assistance","Cho phép hỗ trợ mua sắm từ xa"
"Save","Lưu"
"You have no stored payment methods." ,"Bạn không có phương thức thanh toán nào đã lưu."
"You have submitted no reviews.","Bạn chưa gửi đánh giá nào."
"Newsletter Subscription","ĐĂNG KÝ NHẬN BẢN TIN"
"Subscription option","Tùy chọn đăng ký"
"General Subscription","Đăng ký nhận bản tin chung"
